num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
787,1580559790.0842109,61865,3737,127.0.0.1,127.0.0.1,1.1e-05,tcp,3737,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0.0,0.0,0.996183,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
788,1580559790.084238,61865,58080,127.0.0.1,127.0.0.1,1.1e-05,tcp,58080,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,0.0,0.0,0.996188,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
789,1580559790.084266,61865,5989,127.0.0.1,127.0.0.1,1.1e-05,tcp,5989,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0.0,0.0,0.996193,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
790,1580559790.0842938,61865,1443,127.0.0.1,127.0.0.1,1.1e-05,tcp,1443,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0.0,0.0,0.9961979999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
791,1580559790.0843449,61865,8021,127.0.0.1,127.0.0.1,1.1e-05,tcp,8021,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0.0,0.0,0.9962030000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
792,1580559790.084373,61865,1030,127.0.0.1,127.0.0.1,1.1e-05,tcp,1030,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0.0,0.0,0.996207,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
793,1580559790.084401,61865,1113,127.0.0.1,127.0.0.1,1.1e-05,tcp,1113,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0.0,0.0,0.9962120000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
794,1580559790.0844312,61865,30718,127.0.0.1,127.0.0.1,1e-05,tcp,30718,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,0.0,0.0,0.996217,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
795,1580559790.084458,61865,1034,127.0.0.1,127.0.0.1,1.1e-05,tcp,1034,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0.0,0.0,0.9962219999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
796,1580559790.084486,61865,6502,127.0.0.1,127.0.0.1,1.1e-05,tcp,6502,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0.0,0.0,0.9962260000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
797,1580559790.0845141,61865,1,127.0.0.1,127.0.0.1,1.1e-05,tcp,1,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,0.0,0.0,0.996231,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
798,1580559790.084542,61865,20031,127.0.0.1,127.0.0.1,1.1e-05,tcp,20031,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0.0,0.0,0.996236,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
799,1580559790.084569,61865,5009,127.0.0.1,127.0.0.1,1.1e-05,tcp,5009,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,0,0.0,0.0,0.9962409999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
800,1580559790.084597,61865,3300,127.0.0.1,127.0.0.1,1e-05,tcp,3300,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,0,0.0,0.0,0.996245,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
801,1580559790.084624,61865,2301,127.0.0.1,127.0.0.1,1e-05,tcp,2301,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0.0,0.0,0.99625,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
802,1580559790.084651,61865,12265,127.0.0.1,127.0.0.1,1.1e-05,tcp,12265,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0.0,0.0,0.9962549999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
